lat,lng,date,hour,alt,course,speed,humidity,temp,pm25,lon,marker-color,marker-size,marker-symbol
6.246333,-75.591827,4/4/2017,22:48:05.00,150.6,221.15,14.89,33,27,5.59,-75.591827,,,
6.246333,-75.591827,4/4/2017,22:48:05.00,150.6,221.15,14.89,33,27,5.42,-75.591827,,,
6.245798,-75.592098,4/4/2017,22:48:33.00,153.1,238.04,6.09,34,29,4.57,-75.592098,,,
6.24595,-75.592147,4/4/2017,22:48:47.00,155.8,346.65,5.54,33,27,5.39,-75.592147,,,
6.24595,-75.592147,4/4/2017,22:49:01.00,155.8,346.65,5.54,33,27,5.04,-75.592147,,,
6.255333,-75.595038,4/4/2017,22:49:15.00,665.6,346.65,5.54,33,27,4.48,-75.595038,,,
6.255333,-75.595038,4/4/2017,22:49:15.00,665.6,346.65,5.54,33,27,4.66,-75.595038,,,
6.255333,-75.595038,4/4/2017,22:49:15.00,665.6,346.65,5.54,33,27,5.41,-75.595038,,,
6.255333,-75.595038,4/4/2017,22:49:15.00,665.6,346.65,5.54,33,27,5.42,-75.595038,,,
6.255847,-75.594888,4/4/2017,22:50:12.00,926.2,65.41,0.00,33,27,5.5,-75.594888,,,
6.255847,-75.594888,4/4/2017,22:50:26.00,926.2,65.41,0.00,36,27,5.51,-75.594888,,,
6.255847,-75.594888,4/4/2017,22:50:26.00,926.2,65.41,0.00,33,27,5.58,-75.594888,,,
6.255847,-75.594888,4/4/2017,22:50:26.00,926.2,65.41,0.00,33,27,4.64,-75.594888,,,
6.255847,-75.594888,4/4/2017,22:50:26.00,926.2,65.41,0.00,33,27,4.4,-75.594888,,,
6.255847,-75.594888,4/4/2017,22:50:26.00,926.2,65.41,0.00,33,27,5.02,-75.594888,,,
6.255708,-75.593852,4/4/2017,22:51:37.00,926.2,152.38,23.45,33,27,4.46,-75.593852,,,
6.254862,-75.593307,4/4/2017,22:51:51.00,926.2,134.83,21.34,33,27,5.22,-75.593307,,,
6.254293,-75.592625,4/4/2017,22:52:05.00,926.2,116.44,24.74,33,27,5.57,-75.592625,,,
6.25386,-75.592333,4/4/2017,22:52:19.00,1511.5,196.89,14.87,33,27,5.02,-75.592333,,,
6.253378,-75.59258,4/4/2017,22:52:33.00,1524.1,204.08,12.65,33,27,4.83,-75.59258,,,
6.252945,-75.592773,4/4/2017,22:52:47.00,1534.8,204.08,12.65,34,27,4.67,-75.592773,,,
6.252945,-75.592773,4/4/2017,22:52:47.00,1534.8,204.08,12.65,33,27,4.46,-75.592773,,,
6.252945,-75.592773,4/4/2017,22:52:47.00,1534.8,204.08,12.65,33,27,4.53,-75.592773,,,
6.252945,-75.592773,4/4/2017,22:52:47.00,1534.8,204.08,12.65,33,27,4.54,-75.592773,,,
6.252945,-75.592773,4/4/2017,22:52:47.00,1534.8,204.08,12.65,33,27,3.95,-75.592773,,,
6.252945,-75.592773,4/4/2017,22:52:47.00,1534.8,204.08,12.65,34,27,4.16,-75.592773,,,
6.252945,-75.592773,4/4/2017,22:52:47.00,1534.8,204.08,12.65,33,27,4.67,-75.592773,,,
6.250212,-75.59348,4/4/2017,22:54:26.00,1534.8,192.53,9.72,33,27,4.31,-75.59348,,,
6.25009,-75.593513,4/4/2017,22:54:40.00,1548.8,186.22,0.00,35,27,4.35,-75.593513,,,
6.25009,-75.593513,4/4/2017,22:54:54.00,1548.8,186.22,0.00,34,27,5.06,-75.593513,,,
6.25009,-75.593513,4/4/2017,22:54:54.00,1548.8,186.22,0.00,33,27,5.58,-75.593513,,,
6.249783,-75.593587,4/4/2017,22:55:23.00,1548.8,185.35,15.96,33,27,5.48,-75.593587,,,
6.249248,-75.593613,4/4/2017,22:55:37.00,1551.4,185.94,15.70,33,27,4.2,-75.593613,,,
6.248655,-75.593705,4/4/2017,22:55:51.00,1557.3,185.94,15.70,33,27,4.32,-75.593705,,,
6.248655,-75.593705,4/4/2017,22:55:51.00,1557.3,185.94,15.70,33,27,4.16,-75.593705,,,
6.248655,-75.593705,4/4/2017,22:55:51.00,1557.3,185.94,15.70,34,27,4.53,-75.593705,,,
6.248655,-75.593705,4/4/2017,22:55:51.00,1557.3,185.94,15.70,34,27,4.59,-75.593705,,,
6.248655,-75.593705,4/4/2017,22:55:51.00,1557.3,185.94,15.70,34,27,4.9,-75.593705,,,
6.248655,-75.593705,4/4/2017,22:55:51.00,1557.3,185.94,15.70,34,27,4.47,-75.593705,,,
6.246447,-75.593765,4/4/2017,22:57:16.00,1557.3,94.57,15.96,33,27,4.89,-75.593765,,,
6.246272,-75.593108,4/4/2017,22:57:30.00,1554.2,110.60,20.02,35,27,4.88,-75.593108,,,
6.24574,-75.592572,4/4/2017,22:57:44.00,1551.8,110.60,20.02,37,27,5.59,-75.592572,,,
6.24574,-75.592572,4/4/2017,22:57:44.00,1551.8,110.60,20.02,34,27,4.72,-75.592572,,,
6.24574,-75.592572,4/4/2017,22:57:44.00,1551.8,110.60,20.02,34,27,4.27,-75.592572,,,
6.24574,-75.592572,4/4/2017,22:57:44.00,1551.8,110.60,20.02,34,27,4.43,-75.592572,,,
6.24574,-75.592572,4/4/2017,22:57:44.00,1551.8,110.60,20.02,34,27,4.62,-75.592572,,,
6.24574,-75.592572,4/4/2017,22:57:44.00,1551.8,110.60,20.02,34,27,5.3,-75.592572,,,
6.24574,-75.592572,4/4/2017,22:57:44.00,1551.8,110.60,20.02,34,27,5.24,-75.592572,,,
6.245847,-75.589575,4/4/2017,22:59:23.00,1516,68.78,0.00,34,27,5.05,-75.589575,,,
6.245847,-75.589575,4/4/2017,22:59:37.00,1516,68.78,0.00,34,27,4.97,-75.589575,,,
6.245847,-75.589575,4/4/2017,22:59:51.00,1516,68.78,0.00,34,27,4.16,-75.589575,,,
6.245847,-75.589575,4/4/2017,22:59:51.00,1516,68.78,0.00,34,27,4.58,-75.589575,,,
6.245847,-75.589575,4/4/2017,22:59:51.00,1516,68.78,0.00,34,27,4.18,-75.589575,,,
6.245847,-75.589575,4/4/2017,23:00:34.00,1516,68.78,0.00,34,27,3.88,-75.589575,,,
6.245847,-75.589575,4/4/2017,23:00:48.00,1516,68.78,0.00,34,27,4.23,-75.589575,,,
6.245847,-75.589575,4/4/2017,23:01:02.00,1516,68.78,0.00,34,27,4.41,-75.589575,,,
6.245847,-75.589575,4/4/2017,23:01:16.00,1516,68.78,0.00,34,27,4.39,-75.589575,,,
6.245847,-75.589575,4/4/2017,23:01:16.00,1516,68.78,0.00,34,27,4.93,-75.589575,,,
6.245847,-75.589575,4/4/2017,23:01:16.00,1516,68.78,0.00,34,27,4.65,-75.589575,,,
6.245847,-75.589575,4/4/2017,23:01:16.00,1516,68.78,0.00,34,27,4.6,-75.589575,,,
6.245847,-75.589575,4/4/2017,23:01:16.00,1516,68.78,0.00,34,27,4.63,-75.589575,,,
6.245847,-75.589575,4/4/2017,23:01:16.00,1516,68.78,0.00,34,27,4.25,-75.589575,,,
6.245847,-75.589575,4/4/2017,23:02:41.00,1516,68.78,0.00,34,27,4.26,-75.589575,,,
6.245847,-75.589575,4/4/2017,23:02:55.00,1516,68.78,0.00,34,27,4.17,-75.589575,,,
6.245847,-75.589575,4/4/2017,23:03:09.00,1516,68.78,0.00,34,27,4.26,-75.589575,,,
6.245847,-75.589575,4/4/2017,23:03:09.00,1516,68.78,0.00,34,27,4.38,-75.589575,,,
6.245847,-75.589575,4/4/2017,23:03:09.00,1516,68.78,0.00,34,27,3.67,-75.589575,,,
6.245847,-75.589575,4/4/2017,23:03:09.00,1516,68.78,0.00,34,27,4.06,-75.589575,,,
6.245847,-75.589575,4/4/2017,23:03:09.00,1516,68.78,0.00,34,27,3.77,-75.589575,,,
6.245847,-75.589575,4/4/2017,23:03:09.00,1516,68.78,0.00,34,27,3.41,-75.589575,,,
6.245847,-75.589575,4/4/2017,23:04:34.00,1516,68.78,0.00,34,27,4.21,-75.589575,,,
6.245847,-75.589575,4/4/2017,23:04:48.00,1516,68.78,0.00,34,27,3.74,-75.589575,,,
6.245857,-75.589562,4/4/2017,23:05:02.00,1516.1,68.78,0.00,35,26,4.45,-75.589562,,,
6.245857,-75.589562,4/4/2017,23:05:02.00,1516.1,68.78,0.00,35,26,4.16,-75.589562,,,
6.245857,-75.589562,4/4/2017,23:05:02.00,1516.1,68.78,0.00,35,26,4.29,-75.589562,,,
6.245857,-75.589562,4/4/2017,23:05:02.00,1516.1,68.78,0.00,35,26,4.28,-75.589562,,,
6.245857,-75.589562,4/4/2017,23:05:02.00,1516.1,68.78,0.00,35,26,4.57,-75.589562,,,
6.245857,-75.589562,4/4/2017,23:05:02.00,1516.1,68.78,0.00,34,27,4.41,-75.589562,,,
6.245882,-75.589553,4/4/2017,23:06:27.00,1515.8,145.47,0.00,34,27,3.82,-75.589553,,,
6.245823,-75.58944,4/4/2017,23:06:41.00,1512,179.37,0.00,34,27,5.3,-75.58944,,,
6.245817,-75.58942,4/4/2017,23:06:55.00,1510.3,179.37,0.00,34,27,5.56,-75.58942,,,
6.245817,-75.58942,4/4/2017,23:06:55.00,1510.3,179.37,0.00,34,27,5.42,-75.58942,,,
6.245817,-75.58942,4/4/2017,23:06:55.00,1510.3,179.37,0.00,34,27,4.98,-75.58942,,,
6.245817,-75.58942,4/4/2017,23:06:55.00,1510.3,179.37,0.00,34,27,5.56,-75.58942,,,
6.245817,-75.58942,4/4/2017,23:06:55.00,1510.3,179.37,0.00,34,27,5.85,-75.58942,,,
6.245817,-75.58942,4/4/2017,23:08:06.00,1510.3,140.22,0.00,35,27,5.12,-75.58942,,,
6.245817,-75.58942,4/4/2017,23:08:06.00,1510.3,140.22,0.00,34,27,5.46,-75.58942,,,
6.245817,-75.58942,4/4/2017,23:08:06.00,1510.3,140.22,0.00,34,27,5.38,-75.58942,,,
6.245817,-75.58942,4/4/2017,23:08:06.00,1510.3,140.22,0.00,34,27,5.93,-75.58942,,,
6.245817,-75.58942,4/4/2017,23:08:06.00,1510.3,140.22,0.00,34,27,6.31,-75.58942,,,
6.245817,-75.58942,4/4/2017,23:08:06.00,1510.3,140.22,0.00,37,27,5.89,-75.58942,,,
6.245817,-75.58942,4/4/2017,23:09:31.00,1510.3,140.22,0.00,34,27,5.06,-75.58942,,,
6.245817,-75.58942,4/4/2017,23:09:45.00,1510.3,140.22,0.00,34,27,6.32,-75.58942,,,
6.245817,-75.58942,4/4/2017,23:09:45.00,1510.3,140.22,0.00,34,27,5.19,-75.58942,,,
6.245817,-75.58942,4/4/2017,23:09:45.00,1510.3,140.22,0.00,34,27,5.34,-75.58942,,,
6.245817,-75.58942,4/4/2017,23:10:28.00,1510.3,140.22,0.00,34,27,5.62,-75.58942,,,
6.245817,-75.58942,4/4/2017,23:10:42.00,1510.3,140.22,0.00,34,27,5.51,-75.58942,,,
6.245817,-75.58942,4/4/2017,23:10:56.00,1510.3,140.22,0.00,34,27,5.48,-75.58942,,,
6.245817,-75.58942,4/4/2017,23:10:56.00,1510.3,140.22,0.00,34,27,5.91,-75.58942,,,
6.245817,-75.58942,4/4/2017,23:10:56.00,1510.3,140.22,0.00,34,27,5.77,-75.58942,,,
6.245817,-75.58942,4/4/2017,23:10:56.00,1510.3,140.22,0.00,37,27,5.83,-75.58942,,,
6.245817,-75.58942,4/4/2017,23:10:56.00,1510.3,140.22,0.00,34,27,5.28,-75.58942,,,
6.245817,-75.58942,4/4/2017,23:12:07.00,1510.3,140.22,0.00,34,27,5.24,-75.58942,,,
